"Edicao (PTBR)","Edicao (EN)","Edicao (Sigla)","Card (PT)","Card (EN)",Quantidade,"Qualidade (M NM SP MP HP D)","Idioma (BR EN DE ES FR IT JP KO RU TW)","Raridade (M R U C)","Cor (W U B R G M A L)",Extras,"Card #",Comentario
,"Commander 2020",c20,"Tenente de Thalia","Thalia's Lieutenant",1,NM,PT,R,W,,103,
,"Commander Legends",cmr,"Armadura do Comandante","Commander's Plate",1,NM,PT,M,C,Promo,305,
,"Commander Legends",cmr,"Caverna Esquecida","Forgotten Cave",1,NM,EN,C,L,,483,
,"Commander Legends",cmr,"Corte da Graca","Court of Grace",1,NM,PT,R,W,,16,
,"Commander Legends",cmr,"Disco de Nevinyrral","Nevinyrral's Disk",1,NM,EN,R,C,Foil,328,
,"Commander Legends",cmr,"Dragao Averneo de Montaria","Hellkite Courser",1,NM,EN,M,R,Foil,183,
,"Commander Legends",cmr,"Guardiao do Acordo","Keeper of the Accord",1,NM,PTEN,R,W,"Foil, Promo",27,
,"Commander Legends",cmr,"Ovo de Dragao","Dragon Egg",3,NM,EN,C,R,,173,
,"Commander Legends",cmr,"Palacio de Opala","Opal Palace",1,NM,PT,C,L,,352,
,"Commander Legends",cmr,"Salao de Guerra","War Room",1,NM,PT,R,L,"Foil, Promo",361,
"Commander Legends: Batalha por Portal de Baldur","Commander Legends: Battle for Baldur's Gate",clb,"Bijuteria do Viajante","Wayfarer's Bauble",1,NM,EN,C,C,,344,
"Commander Legends: Batalha por Portal de Baldur","Commander Legends: Battle for Baldur's Gate",clb,"Dragao de Cobre Anciao","Ancient Copper Dragon",1,NM,PT,M,R,,161,
"Commander Legends: Batalha por Portal de Baldur","Commander Legends: Battle for Baldur's Gate",clb,Raio,"Lightning Bolt",1,NM,PT,C,R,,187,
"Commander Legends: Batalha por Portal de Baldur (Foil Etched)","Commander Legends: Battle for Baldur's Gate (Foil Etched)",feclb,"Ganax, Cacador Astral","Ganax, Astral Hunter",1,NM,EN,U,R,Foil,504,
,"Commander Masters",cmm,"Icone de Ancestralidade","Icon of Ancestry",1,NM,EN,R,C,,955,
,"Commander Masters",cmm,"Marechal-de-campo Angelical","Angelic Field Marshal",1,NM,EN,R,W,,13,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Luz Banidora","Banishing Light",1,NM,PT,U,W,,161,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Sam, Ajudante Leal","Sam, Loyal Attendant",1,NM,EN,M,M,,7,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Terras em Desenvolvimento","Evolving Wilds",4,NM,PT,C,L,,306,
"Contos Encantados","Enchanting Tales",wot,"Manto de Dragao","Dragon Mantle",1,NM,PT,U,R,,41,
"Contos Encantados","Enchanting Tales",wot,"Ninho dos Grifos","Griffin Aerie",1,NM,PT,U,W,,5,
"Contos Encantados (Anime)","Enchanting Tales (Anime)",awot,"Justica Carmica","Karmic Justice",1,NM,EN,R,W,,65,
,"Core Set 2019",m19,"Anjo Resplandecente","Resplendent Angel",1,NM,PT,M,W,,34,
,"Core Set 2019",m19,"Clerigo Arrependido","Remorseful Cleric",1,NM,EN,R,W,,33,
,"Core Set 2019",m19,"Dragao Reivindicativo","Demanding Dragon",1,NM,EN,R,R,,135,
,"Core Set 2019",m19,"Egua do Escudo","Shield Mare",4,NM,EN,U,W,,37,
,"Core Set 2019",m19,"Lathliss, Rainha dos Dragoes","Lathliss, Dragon Queen",1,NM,PT,R,R,,149,
,"Core Set 2019",m19,"Opor Resistencia","Make a Stand",2,NM,EN,U,W,,26,
,"Core Set 2019",m19,"Sarkhan, Alma de Dragao","Sarkhan, Dragonsoul",1,NM,PT,M,R,Foil,296,
,"Core Set 2019",m19,"Sarkhan, Sangue de Fogo","Sarkhan, Fireblood",1,NM,PT,M,R,,154,
,"Core Set 2019",m19,"Vanguardeira Leonina","Leonin Vanguard",4,NM,EN,U,W,,22,
,"Core Set 2020",m20,"Ajani, Forca do Bando","Ajani, Strength of the Pride",1,NM,PT,M,W,,2,
,"Core Set 2020",m20,"Anjo da Vitalidade","Angel of Vitality",1,NM,PT,U,W,,4,
,"Core Set 2020",m20,"As da Esgrima","Fencing Ace",1,NM,PT,U,W,,16,
,"Core Set 2020",m20,"Bispa das Asas","Bishop of Wings",1,NM,PT,R,W,Promo,8,
,"Core Set 2020",m20,"Chave Multipla","Manifold Key",1,NM,PT,U,C,,230,
,"Core Set 2020",m20,"Sephara, Lamina dos Ceus","Sephara, Sky's Blade",1,NM,EN,R,W,,36,
"Core Set 2021","Core Set 2021",m21,"Chandra, Catalisadora da Chama","Chandra, Flame's Catalyst",1,NM,PT,M,R,Foil,332,
"Core Set 2021","Core Set 2021",m21,"Gadrak, Flagelo da Coroa","Gadrak, the Crown-Scourge",1,NM,PT,R,R,,146,
"Core Set 2021","Core Set 2021",m21,"Myr de Paladio","Palladium Myr",1,NM,PT,U,C,,234,
"Core Set 2021","Core Set 2021",m21,"Porta-voz dos Ceus","Speaker of the Heavens",1,NM,PT,R,W,"Foil, Promo",38,
"Core Set 2021","Core Set 2021",m21,"Terror dos Picos","Terror of the Peaks",1,NM,EN,M,R,,164,
"Décima Edição","Tenth Edition",10e,"Reya, Portadora da Alvorada","Reya Dawnbringer",1,NM,PT,R,W,,35,
"Despertar do Mundo",Worldwake,wwk,"Labareda Cauterizante","Searing Blaze",4,NM,EN,C,R,,90,
"Despertar do Mundo",Worldwake,wwk,"Mistico Litoforjador","Stoneforge Mystic",1,SP,PT,R,W,,20,
"Destino Reescrito","Fate Reforged",frf,"Ugin, o Dragao Espirito","Ugin, the Spirit Dragon",1,NM,PT,M,C,,1,
,Dominaria,dom,"Cavaleira da Graca","Knight of Grace",4,NM,PT,U,W,,23,
,Dominaria,dom,"Guarda-costas Destemida","Dauntless Bodyguard",4,NM,EN,U,W,,14,
,Dominaria,dom,"Historia de Benalia","History of Benalia",2,NM,EN,M,W,,21,
,Dominaria,dom,"Lyra, Portadora da Alvorada","Lyra Dawnbringer",1,NM,PT,M,W,,26,
,Dominaria,dom,"Marechal de Benalia","Benalish Marshal",4,NM,PT,R,W,,6,
,"Dominaria Remastered",dmr,"Cripta de Tormod","Tormod's Crypt",4,NM,EN,U,C,,235,
,"Dominaria Remastered",dmr,"Relampago em Cadeia","Chain Lightning",4,NM,EN,C,R,,113,
,"Dominaria Remastered (Borderless)",bldmr,"Dragao Engole-Mundos","Worldgorger Dragon",1,NM,PT,M,R,,437,
"Dominária Unida","Dominaria United",dmu,"Devastador de Shiv","Shivan Devastator",2,NM,EN,M,R,,143,
"Dominária Unida","Dominaria United",dmu,"Devastador de Shiv","Shivan Devastator",1,NM,EN,M,R,Foil,143,
"Dominária Unida","Dominaria United",dmu,"Exemplar de Serra","Serra Paragon",1,NM,EN,M,W,Foil,32,
"Dominária Unida (Extended Art)","Dominaria United (Extended Art)",exdmu,"Devastador de Shiv","Shivan Devastator",1,NM,EN,M,R,,410,
,"Double Masters",2xm,"Avacyn, Anjo da Esperanca","Avacyn, Angel of Hope",1,NM,EN,M,W,,8,
,"Double Masters",2xm,"Caminho para o Exilio","Path to Exile",1,NM,EN,U,W,,25,
,"Double Masters 2022 (Borderless)",bl2x2,"Lanca Veloz do Monasterio","Monastery Swiftspear",3,NM,EN,C,R,,362,
"Dragões de Tarkir","Dragons of Tarkir",dtk,"Servo do Soberano Dragao","Dragonlord's Servant",1,NM,PT,U,R,,138,
"Dragões de Tarkir","Dragons of Tarkir",dtk,"Tremores de Impacto","Impact Tremors",1,NM,PT,C,R,,140,
,"Edge of Eternities",eoe,,"Nova Hellkite",3,NM,EN,R,R,,148,
,"Eternal Masters",ema,"Ovo de Dragao","Dragon Egg",3,NM,EN,C,R,Foil,126,
Êxodo,Exodus,ex,"Portal Erratico","Erratic Portal",1,NM,PT,R,C,,132,
,"FINAL FANTASY",fin,,"Barret Wallace",1,NM,EN,U,R,,129,
,"FINAL FANTASY",fin,,"Phoenix Down",1,NM,EN,U,W,,29,
,"FINAL FANTASY",fin,,"Summon: Knights of Round",1,NM,EN,M,W,,36,
,"FINAL FANTASY",fin,,"Zack Fair",1,NM,EN,U,W,,45,
,"FINAL FANTASY Commander",fic,Adeus,Farewell,1,NM,EN,R,W,,242,
,"FINAL FANTASY Commander",fic,,"Aerith, Last Ancient",1,NM,EN,R,M,,76,
,"FINAL FANTASY Commander",fic,"Aldeia Fortificada","Fortified Village",1,NM,EN,R,L,,396,
,"FINAL FANTASY Commander",fic,"Anel Solar (#357)","Sol Ring (#357)",1,NM,EN,U,C,,357,
,"FINAL FANTASY Commander",fic,"Assuntos Pendentes","Unfinished Business",1,NM,EN,R,W,,259,
,"FINAL FANTASY Commander",fic,"Automato do Arsenal","Armory Automaton",1,NM,EN,R,C,,336,
,"FINAL FANTASY Commander",fic,,"Avalanche of Sector 7",1,NM,EN,R,R,,53,
,"FINAL FANTASY Commander",fic,"Balista Ambulante","Walking Ballista",1,NM,EN,R,C,,371,
,"FINAL FANTASY Commander",fic,,"Barret, Avalanche Leader",1,NM,EN,R,M,,79,
,"FINAL FANTASY Commander",fic,"Bosque da Petala Solar","Sunpetal Grove",1,NM,EN,R,L,,432,
,"FINAL FANTASY Commander",fic,"Bosque das Tochas","Fire-Lit Thicket",1,NM,EN,R,L,,392,
,"FINAL FANTASY Commander",fic,"Bosque Radiante","Radiant Grove",1,NM,EN,C,L,,414,
,"FINAL FANTASY Commander",fic,"Botas do Desbravador","Trailblazer's Boots",1,NM,EN,U,C,,370,
,"FINAL FANTASY Commander",fic,,"Bugenhagen, Wise Elder",1,NM,EN,R,G,,66,
,"FINAL FANTASY Commander",fic,,"Cait Sith, Fortune Teller",1,NM,EN,R,R,,54,
,"FINAL FANTASY Commander",fic,"Caminho da Ascendencia","Path of Ancestry",1,NM,EN,C,L,,411,
,"FINAL FANTASY Commander",fic,,"Cid, Freeflier Pilot",1,NM,EN,R,W,,13,
,"FINAL FANTASY Commander",fic,"Clareira das Cinzas","Cinder Glade",1,NM,EN,R,L,,380,
,"FINAL FANTASY Commander",fic,,"Cloud's Limit Break",1,NM,EN,R,W,,14,
,"FINAL FANTASY Commander",fic,,"Cloud, Ex-SOLDIER",1,NM,EN,M,M,Foil,2,
,"FINAL FANTASY Commander",fic,"Comando Austero","Austere Command",1,NM,EN,R,W,,231,
,"FINAL FANTASY Commander",fic,,"Conformer Shuriken",1,NM,EN,R,C,,98,
,"FINAL FANTASY Commander",fic,"Couraca de Aco Negro","Darksteel Plate",1,NM,EN,R,C,,342,
,"FINAL FANTASY Commander",fic,"Crescimento Exuberante","Rampant Growth",1,NM,EN,C,G,,313,
,"FINAL FANTASY Commander",fic,Cultivar,Cultivate,1,NM,EN,C,G,,300,
,"FINAL FANTASY Commander",fic,"Cume Arborizado","Wooded Ridgeline",1,NM,EN,C,L,,441,
,"FINAL FANTASY Commander",fic,"Desolacao Fumegante","Ash Barrens",1,NM,EN,C,L,,374,
,"FINAL FANTASY Commander",fic,Despachar,Dispatch,1,NM,EN,U,W,,241,
,"FINAL FANTASY Commander",fic,"Distorcao Caotica","Chaos Warp",1,NM,EN,R,R,,291,
,"FINAL FANTASY Commander",fic,Dizimar,Decimate,1,NM,EN,R,M,,323,
,"FINAL FANTASY Commander",fic,,"Elena, Turk Recruit",1,NM,EN,R,W,,18,
,"FINAL FANTASY Commander",fic,"Elmo do Campeao","Champion's Helm",1,NM,EN,R,C,,337,
,"FINAL FANTASY Commander",fic,"Enclave dos Vinculadores","Bonders' Enclave",1,NM,EN,R,L,,376,
,"FINAL FANTASY Commander",fic,"Encontro Sagrado (#217)","Secret Rendezvous (#217)",1,NM,EN,U,W,,217,
,"FINAL FANTASY Commander",fic,"Escalada Furiosa","Furious Rise",1,NM,EN,U,R,,294,
,"FINAL FANTASY Commander",fic,"Escopo do Explorador","Explorer's Scope",1,NM,EN,C,C,,344,
,"FINAL FANTASY Commander",fic,"Espada da Animista","Sword of the Animist",2,NM,EN,R,C,,362,
,"FINAL FANTASY Commander",fic,"Estatuaria Inspiradora","Inspiring Statuary",1,NM,EN,R,C,,347,
,"FINAL FANTASY Commander",fic,"Explosao Vandalica",Vandalblast,1,NM,EN,U,R,,298,
,"FINAL FANTASY Commander",fic,"Forjaria do Campo de Batalha","Battlefield Forge",1,NM,EN,R,L,,375,
,"FINAL FANTASY Commander",fic,"Fortaleza dos Matadores","Slayers' Stronghold",1,NM,EN,R,L,,424,
,"FINAL FANTASY Commander",fic,"Grevas Faiscantes","Lightning Greaves",1,NM,EN,U,C,,349,
,"FINAL FANTASY Commander",fic,"Guardiao de Bronze","Bronze Guardian",1,NM,EN,R,W,,234,
,"FINAL FANTASY Commander",fic,Harmonizar,Harmonize,1,NM,EN,U,G,,308,
,"FINAL FANTASY Commander",fic,,"Heidegger, Shinra Executive",1,NM,EN,R,W,,21,
,"FINAL FANTASY Commander",fic,,Helitrooper,1,NM,EN,R,W,,22,
,"FINAL FANTASY Commander",fic,"Heranca do Heroi","Hero's Heirloom",1,NM,EN,U,C,,346,
,"FINAL FANTASY Commander",fic,"Lamina do Heroi","Hero's Blade",1,NM,EN,U,C,,345,
,"FINAL FANTASY Commander",fic,"Liame da Calmafuriosa","Furycalm Snarl",1,NM,EN,R,L,,397,
,"FINAL FANTASY Commander",fic,,"Lifestream's Blessing",1,NM,EN,R,G,,67,
,"FINAL FANTASY Commander",fic,Macegal,Brushland,1,NM,EN,R,L,,377,
,"FINAL FANTASY Commander",fic,"Mangual do Conquistador","Conqueror's Flail",1,NM,EN,R,C,,340,
,"FINAL FANTASY Commander",fic,"Martelo Behemoth","Behemoth Sledge",1,NM,EN,U,M,,320,
,"FINAL FANTASY Commander",fic,"Martelo do Colosso","Colossus Hammer",1,NM,EN,U,C,,338,
,"FINAL FANTASY Commander",fic,"Mascara da Memoria","Mask of Memory",1,NM,EN,U,C,,350,
,"FINAL FANTASY Commander",fic,"Ocultacao Sagaz","Clever Concealment",1,NM,EN,R,W,,236,
,"FINAL FANTASY Commander",fic,"Paladino de Aco Puro","Puresteel Paladin",1,NM,EN,R,W,,250,
,"FINAL FANTASY Commander",fic,"Penhasco do Raizame","Rootbound Crag",1,NM,EN,R,L,,416,
,"FINAL FANTASY Commander",fic,"Picos Sagrados","Sacred Peaks",1,NM,EN,C,L,,418,
,"FINAL FANTASY Commander",fic,"Pinca Craniana",Skullclamp,1,NM,EN,U,C,,355,
,"FINAL FANTASY Commander",fic,"Pomar Exotico","Exotic Orchard",1,NM,EN,R,L,,390,
,"FINAL FANTASY Commander",fic,"Pradaria de Capim Solar","Sungrass Prairie",1,NM,EN,R,L,,428,
,"FINAL FANTASY Commander",fic,"Prado Pedregoso","Rugged Prairie",1,NM,EN,R,L,,417,
,"FINAL FANTASY Commander",fic,,"Professor Hojo",1,NM,EN,R,G,,69,
,"FINAL FANTASY Commander",fic,"Protetora do Bastiao","Bastion Protector",1,NM,EN,R,W,,233,
,"FINAL FANTASY Commander",fic,"Quebra-cara Profissional","Professional Face-Breaker",1,NM,EN,R,R,,296,
,"FINAL FANTASY Commander",fic,,"Red XIII, Proud Warrior",1,NM,EN,R,M,,91,
,"FINAL FANTASY Commander",fic,"Retiro da Falesia","Clifftop Retreat",1,NM,EN,R,L,,381,
,"FINAL FANTASY Commander",fic,"Sabedoria da Natureza","Nature's Lore",1,NM,EN,C,G,,311,
,"FINAL FANTASY Commander",fic,"Sacrario da Selva","Jungle Shrine",1,NM,EN,U,L,,406,
,"FINAL FANTASY Commander",fic,,"Sephiroth, Fallen Hero",1,NM,EN,R,M,,92,
,"FINAL FANTASY Commander",fic,"Sinete Arcano (#333)","Arcane Signet (#333)",1,NM,EN,C,C,,333,
,"FINAL FANTASY Commander",fic,,"SOLDIER Military Program",1,NM,EN,R,W,,25,
,"FINAL FANTASY Commander",fic,"Subjugar a Horda","Vanquish the Horde",1,NM,EN,R,W,,260,
,"FINAL FANTASY Commander",fic,,"Summon: Kujata",1,NM,PT,R,R,,61,
,"FINAL FANTASY Commander",fic,,"Summoning Materia",1,NM,EN,R,G,,72,
,"FINAL FANTASY Commander",fic,,"Sunscorched Divide",1,NM,EN,R,L,,433,
,"FINAL FANTASY Commander",fic,"Terras em Desenvolvimento","Evolving Wilds",1,NM,EN,C,L,,389,
,"FINAL FANTASY Commander",fic,"Territorio dos Necrofagos","Scavenger Grounds",1,NM,EN,R,L,,419,
,"FINAL FANTASY Commander",fic,,"Tifa, Martial Artist",2,NM,EN,M,M,Foil,6,
,"FINAL FANTASY Commander",fic,"Tirano Dragao Averneo","Hellkite Tyrant",1,NM,EN,R,R,,295,
,"FINAL FANTASY Commander",fic,"Torre da Industria","Spire of Industry",1,NM,EN,R,L,,426,
,"FINAL FANTASY Commander",fic,"Torre de Comando (#485)","Command Tower (#485)",1,NM,EN,C,L,,485,
,"FINAL FANTASY Commander",fic,"Trilha de Caca","Game Trail",1,NM,EN,R,L,,398,
,"FINAL FANTASY Commander",fic,,"Ultimate Magic: Holy",1,NM,EN,R,W,,32,
,"FINAL FANTASY Commander",fic,,"Ultimate Magic: Meteor",1,NM,PT,R,R,,62,
,"FINAL FANTASY Commander",fic,"Vale de Piromusgo","Mossfire Valley",1,NM,EN,R,L,,407,
,"FINAL FANTASY Commander",fic,,"Vincent, Vengeful Atoner",1,NM,EN,R,R,,64,
,"FINAL FANTASY Commander",fic,"Vista do Dossel","Canopy Vista",1,NM,EN,R,L,,378,
,"FINAL FANTASY Commander",fic,,"Wakka, Devoted Guardian",1,NM,EN,R,M,,97,
,"FINAL FANTASY Commander",fic,,"Wrecking Ball Arm",1,NM,EN,R,C,,100,
,"FINAL FANTASY Commander",fic,,"Yuffie, Materia Hunter",1,NM,EN,R,R,,65,
,"FINAL FANTASY Commander (Extended Art)",eafic,,Snort,1,NM,EN,R,R,Foil,120,
Flagelo,Scourge,sc,"Dragao Tirano","Dragon Tyrant",1,NM,PT,R,R,,88,
,"Forgotten Realms Commander",afc,"Anjo da Explosao Solar","Sunblast Angel",1,NM,PT,R,W,,74,
,"Forgotten Realms Commander",afc,"Anjo da Finalidade","Angel of Finality",1,NM,PT,R,W,,63,
,"Forgotten Realms Commander",afc,"Tesouro do Dragao","Dragon's Hoard",1,NM,PT,R,C,,204,
,Foundations,fdn,"Companheiro de Bando de Ajani","Ajani's Pridemate",3,NM,EN,U,W,,135,
,Foundations,fdn,"Companheiro de Bando de Ajani","Ajani's Pridemate",1,NM,EN,U,W,Foil,135,
,Foundations,fdn,,"Exemplar of Light",1,SP,EN,R,W,,11,
,Foundations,fdn,"Falcao do Curandeiro","Healer's Hawk",4,NM,EN,C,W,,142,
,Foundations,fdn,"Falcao do Curandeiro","Healer's Hawk",1,NM,EN,C,W,Foil,142,
,Foundations,fdn,"Giada, Fonte de Esperanca","Giada, Font of Hope",1,NM,PT,R,W,,141,
,Foundations,fdn,"Valquiria Jovem","Youthful Valkyrie",1,NM,EN,U,W,,149,
,"Foundations (Beginner Box)",bbfdn,"Supervisor Inspirador","Inspiring Overseer",1,NM,EN,C,W,,496,
,"Foundations (Borderless)",blfdn,,"Exemplar of Light",1,NM,JP,R,W,Foil,297,
,"Foundations Jumpstart 2025",j25,"Acampamento Ghitu","Ghitu Encampment",1,NM,EN,U,L,,155,
,"Foundations Jumpstart 2025",j25,"Paradigma de Nyktos","Nykthos Paragon",1,NM,EN,R,W,,230,
,"Friday Night Magic",fnmp,"Iluminar o Palco","Light Up the Stage",1,NM,PT,U,R,Foil,218,
"Guildas de Ravnica","Guilds of Ravnica",grn,"Campo Eletrostatico","Electrostatic Field",1,SP,EN,U,R,,97,
"Guildas de Ravnica","Guilds of Ravnica",grn,"Testemunha Cacada","Hunted Witness",1,NM,EN,C,W,,15,
"Guildas de Ravnica","Guilds of Ravnica",grn,"Tribunal do Conclave","Conclave Tribunal",4,NM,EN,U,W,,6,
"Hora da Devastação","Hour of Devastation",hou,"Ruinas de Ramunap","Ramunap Ruins",1,NM,PT,U,L,,181,
,"Iconic Masters",ima,"Acordo Angelical","Angelic Accord",1,NM,EN,U,W,,7,
,"Iconic Masters",ima,"Ascendente de Serra","Serra Ascendant",1,NM,EN,R,W,,31,
,"Iconic Masters",ima,"Dragao Averneo Trovejante","Thundermaw Hellkite",1,NM,EN,M,R,Foil,149,
,"Iconic Masters",ima,"Ovo de Dragao","Dragon Egg",1,NM,EN,C,R,,124,
,"Iconic Masters",ima,"Pedra da Mente","Mind Stone",1,NM,EN,C,C,,219,
"Ikoria: Terra de Colossos","Ikoria: Lair of Behemoths",iko,"Esfera de Captura","Capture Sphere",1,NM,PT,C,U,,44,
"Ikoria: Terra de Colossos","Ikoria: Lair of Behemoths",iko,"Lontra Ladra","Thieving Otter",1,NM,PT,C,U,,69,
"Ikoria: Terra de Colossos","Ikoria: Lair of Behemoths",iko,"Luz da Esperanca","Light of Hope",1,NM,PTEN,C,W,,20,
"Ikoria: Terra de Colossos","Ikoria: Lair of Behemoths",iko,"Planalto Acidentado","Rugged Highlands",1,NM,PT,C,L,,252,
"Ikoria: Terra de Colossos","Ikoria: Lair of Behemoths",iko,"Salva Incandescente","Blazing Volley",4,NM,PT,C,R,,107,
,"Innistrad Remastered",inr,"Bruna, a Luz Desvanecente","Bruna, the Fading Light",1,NM,EN,R,W,,14,
,"Innistrad Remastered",inr,"Epicurista Voldaren","Voldaren Epicure",4,NM,EN,C,R,,182,
"Innistrad: Caçada à Meia-noite","Innistrad: Midnight Hunt",mid,"Brincar com Fogo","Play with Fire",4,NM,PT,U,R,,154,
"Innistrad: Caçada à Meia-noite","Innistrad: Midnight Hunt",mid,"Ovo Fumegante","Smoldering Egg",1,NM,EN,R,R,Foil,159,
,"Innistrad: Double Feature",dbl,"Chandra, Vestida para Matar","Chandra, Dressed to Kill",1,NM,PT,M,R,Foil,416,
,"Innistrad: Double Feature",dbl,"Ovo Fumegante","Smoldering Egg",1,NM,EN,R,R,,159,
"Innistrad: Voto Carmesim","Innistrad: Crimson Vow",vow,Abrasao,Abrade,4,NM,PT,C,R,,139,
"Innistrad: Voto Carmesim","Innistrad: Crimson Vow",vow,"Aranha da Prole Maligna","Vilespawn Spider",1,NM,PT,U,M,,250,
"Innistrad: Voto Carmesim","Innistrad: Crimson Vow",vow,"Celebradora das Petalas de Sangue","Blood Petal Celebrant",1,NM,PT,C,R,,146,
"Innistrad: Voto Carmesim","Innistrad: Crimson Vow",vow,"Celebrante Profano","Unholy Officiant",1,NM,PT,C,W,,41,
"Innistrad: Voto Carmesim","Innistrad: Crimson Vow",vow,"Chama Dilacerante","Rending Flame",1,NM,PT,U,R,,175,
"Innistrad: Voto Carmesim","Innistrad: Crimson Vow",vow,"Chandra, Vestida para Matar","Chandra, Dressed to Kill",1,NM,PT,M,R,,149,
"Innistrad: Voto Carmesim","Innistrad: Crimson Vow",vow,"Emboscada Serpentina","Serpentine Ambush",1,NM,PT,C,U,,77,
"Innistrad: Voto Carmesim","Innistrad: Crimson Vow",vow,"Incendiario Volatil","Volatile Arsonist",1,NM,PT,M,R,,181,
"Innistrad: Voto Carmesim","Innistrad: Crimson Vow",vow,"Instigadora da Milicia","Militia Rallier",1,NM,PT,C,W,Foil,24,
"Innistrad: Voto Carmesim","Innistrad: Crimson Vow",vow,"Janela Barrada","Boarded Window",1,NM,PT,U,C,,253,
